iter	Passed	Remaining
0	0	886
1	1	793
2	2	763
3	2	732
4	3	713
5	4	697
6	4	688
7	5	684
8	6	665
9	6	690
10	7	686
11	8	689
12	9	687
13	9	673
14	9	656
15	10	657
16	11	661
17	12	656
18	12	654
19	13	648
20	13	644
21	14	632
22	14	629
23	15	630
24	15	618
25	16	633
26	17	631
27	17	620
28	18	616
29	19	617
30	19	613
31	20	608
32	20	603
33	20	595
34	21	593
35	21	585
36	22	580
37	22	573
38	23	569
39	23	564
40	23	558
41	24	553
42	24	549
43	25	547
44	25	544
45	26	542
46	26	540
47	26	535
48	27	534
49	27	531
50	28	529
51	29	530
52	29	529
53	30	525
54	30	521
55	30	520
56	31	518
57	31	517
58	32	514
59	32	515
60	33	513
61	33	512
62	34	512
63	35	512
64	35	510
65	36	510
66	36	507
67	37	515
68	38	512
69	38	509
70	38	508
71	39	506
72	39	506
73	40	504
74	40	502
75	41	500
76	41	499
77	42	498
78	42	496
79	42	494
80	43	491
81	43	488
82	44	487
83	44	487
84	45	486
85	45	483
86	45	481
87	46	481
88	47	482
89	47	480
90	47	479
91	48	477
92	48	476
93	49	476
94	49	474
95	50	473
96	50	473
97	51	472
98	51	471
99	52	471
100	52	469
101	53	470
102	53	468
103	54	467
104	54	465
105	54	463
106	55	463
107	56	463
108	56	462
109	57	462
110	57	461
111	58	460
112	58	458
113	58	458
114	59	456
115	59	456
116	60	455
117	61	456
118	61	454
119	62	455
120	62	454
121	62	453
122	63	452
123	63	451
124	64	450
125	64	450
126	65	448
127	65	448
128	66	447
129	66	447
130	67	446
131	67	446
132	68	446
133	69	446
134	69	444
135	69	443
136	70	442
137	70	441
138	71	441
139	71	440
140	72	440
141	72	439
142	73	438
143	73	438
144	74	437
145	74	437
146	75	438
147	76	438
148	76	437
149	77	436
150	77	436
151	77	435
152	78	434
153	78	433
154	79	433
155	79	432
156	80	431
157	80	431
158	81	430
159	81	430
160	82	429
161	82	428
162	83	427
163	83	426
164	84	426
165	84	424
166	84	423
167	85	422
168	85	421
169	86	420
170	86	418
171	86	418
172	87	417
173	87	416
174	88	415
175	88	415
176	89	415
177	89	414
178	90	413
179	90	412
180	91	412
181	91	412
182	92	411
183	92	410
184	92	408
185	93	408
186	93	407
187	94	407
188	94	406
189	95	407
190	96	406
191	96	406
192	97	406
193	97	405
194	97	403
195	98	403
196	98	403
197	99	403
198	100	402
199	100	402
200	101	401
201	101	400
202	101	399
203	102	398
204	102	398
205	103	397
206	103	396
207	103	395
208	104	394
209	104	393
210	105	392
211	105	392
212	106	391
213	106	390
214	106	390
215	107	389
216	107	388
217	108	387
218	108	388
219	109	387
220	109	387
221	110	386
222	110	385
223	111	384
224	111	384
225	111	383
226	112	383
227	112	382
228	113	381
229	113	380
230	113	379
231	114	378
232	114	377
233	115	378
234	115	377
235	116	376
236	116	375
237	117	374
238	117	374
239	118	374
240	118	373
241	119	373
242	119	372
243	120	372
244	120	371
245	120	370
246	120	368
247	121	368
248	121	367
249	122	366
250	122	365
251	123	365
252	123	364
253	123	363
254	124	362
255	124	362
256	125	361
257	125	360
258	125	360
259	126	359
260	126	359
261	127	358
262	127	358
263	128	357
264	128	357
265	129	356
266	129	356
267	130	355
268	130	355
269	130	354
270	131	353
271	131	352
272	132	352
273	132	351
274	133	351
275	134	351
276	134	350
277	134	350
278	135	349
279	135	348
280	135	347
281	136	347
282	137	347
283	137	347
284	138	346
285	138	345
286	138	344
287	139	344
288	139	343
289	140	343
290	140	342
291	141	342
292	141	342
293	142	341
294	142	340
295	142	339
296	143	338
297	143	338
298	144	338
299	144	337
300	145	336
301	145	336
302	145	335
303	146	334
304	146	334
305	147	333
306	148	334
307	148	334
308	149	333
309	149	332
310	150	332
311	150	331
312	151	331
313	151	330
314	151	330
315	152	329
316	152	328
317	153	328
318	153	327
319	153	327
320	154	326
321	155	326
322	155	325
323	155	324
324	156	324
325	156	323
326	157	323
327	157	323
328	158	322
329	158	322
330	159	322
331	159	321
332	160	320
333	160	320
334	161	319
335	161	319
336	161	318
337	162	317
338	162	317
339	163	316
340	163	315
341	163	315
342	164	314
343	164	313
344	164	313
345	165	312
346	165	311
347	166	311
348	166	310
349	166	309
350	167	309
351	167	308
352	167	307
353	168	307
354	168	306
355	169	306
356	169	305
357	170	305
358	170	304
359	171	304
360	171	303
361	172	303
362	172	302
363	173	302
364	173	301
365	173	301
366	174	300
367	174	299
368	174	299
369	175	298
370	175	298
371	176	297
372	176	296
373	177	296
374	177	295
375	178	295
376	178	294
377	178	294
378	179	293
379	179	293
380	180	292
381	180	292
382	180	291
383	181	290
384	181	289
385	181	289
386	182	288
387	182	287
388	182	287
389	183	286
390	183	286
391	184	285
392	184	285
393	184	284
394	185	283
395	185	282
396	185	282
397	186	281
398	186	280
399	187	280
400	187	280
401	188	280
402	188	279
403	189	279
404	189	278
405	190	278
406	190	277
407	190	276
408	191	276
409	191	275
410	191	275
411	192	274
412	192	273
413	192	272
414	193	272
415	193	271
416	193	271
417	194	270
418	194	269
419	195	269
420	195	268
421	195	267
422	196	267
423	196	266
424	196	266
425	197	265
426	197	265
427	198	264
428	198	264
429	199	263
430	199	263
431	199	262
432	200	262
433	200	262
434	201	261
435	201	261
436	202	260
437	202	259
438	202	259
439	203	258
440	203	258
441	204	257
442	204	256
443	204	256
444	205	255
445	205	255
446	205	254
447	206	254
448	206	253
449	207	253
450	207	252
451	207	252
452	208	251
453	208	251
454	209	250
455	209	250
456	210	249
457	210	249
458	210	248
459	211	247
460	211	247
461	212	246
462	212	246
463	213	246
464	213	245
465	213	245
466	214	244
467	214	244
468	215	243
469	215	243
470	215	242
471	216	242
472	216	241
473	217	241
474	217	240
475	218	240
476	218	239
477	219	239
478	219	238
479	219	237
480	220	237
481	220	236
482	220	236
483	221	235
484	221	235
485	222	234
486	222	234
487	222	233
488	223	233
489	223	232
490	223	231
491	224	231
492	224	230
493	224	230
494	225	229
495	225	229
496	225	228
497	226	228
498	226	227
499	226	226
500	227	226
501	227	225
502	228	225
503	228	224
504	228	224
505	229	223
506	229	223
507	230	222
508	230	222
509	230	221
510	231	221
511	231	221
512	232	220
513	232	220
514	233	219
515	233	219
516	234	218
517	234	218
518	234	217
519	235	217
520	235	216
521	236	216
522	236	215
523	236	215
524	237	214
525	237	214
526	238	213
527	238	213
528	238	212
529	239	212
530	239	211
531	239	210
532	240	210
533	240	209
534	240	209
535	241	208
536	241	208
537	242	207
538	242	207
539	243	207
540	243	206
541	244	206
542	244	205
543	245	205
544	245	204
545	245	204
546	246	203
547	246	203
548	246	202
549	247	202
550	247	201
551	247	200
552	247	200
553	248	199
554	248	199
555	249	198
556	249	198
557	250	198
558	250	197
559	250	197
560	251	196
561	251	196
562	252	195
563	252	195
564	253	195
565	253	194
566	253	193
567	254	193
568	254	192
569	254	192
570	255	191
571	255	191
572	256	191
573	257	190
574	257	190
575	257	189
576	258	189
577	258	188
578	259	188
579	259	188
580	259	187
581	260	187
582	260	186
583	261	186
584	261	185
585	262	185
586	262	184
587	262	184
588	263	183
589	263	183
590	264	182
591	264	182
592	265	181
593	265	181
594	266	181
595	266	180
596	266	179
597	266	179
598	267	178
599	267	178
600	268	177
601	268	177
602	268	176
603	269	176
604	269	176
605	270	175
606	270	175
607	271	175
608	272	174
609	272	174
610	272	173
611	273	173
612	273	172
613	274	172
614	274	171
615	274	171
616	275	170
617	275	170
618	275	169
619	276	169
620	276	168
621	277	168
622	278	168
623	278	167
624	278	167
625	279	166
626	279	166
627	279	165
628	280	165
629	281	165
630	281	164
631	281	164
632	282	163
633	282	163
634	283	162
635	283	162
636	283	161
637	284	161
638	284	160
639	285	160
640	286	160
641	286	159
642	286	159
643	287	158
644	287	158
645	288	158
646	289	157
647	289	157
648	289	156
649	290	156
